Study Start:  time = 5.805085
Grid Cleared:  time = 5.805085
Added Block at 49, 6:  time = 79.40311
Added Block at 49, 6:  time = 79.40311
Added Block at 49, 6:  time = 79.40311
Added Block at 52, 6:  time = 81.12271
Added Block at 52, 6:  time = 81.12271
Added Block at 52, 6:  time = 81.12271
Added Block at 52, 6:  time = 81.12271
Added Block at 45, 6:  time = 82.07316
Added Block at 45, 6:  time = 82.07316
Added Block at 45, 6:  time = 82.07316
Added Block at 45, 6:  time = 82.07316
Added Question at 45, 6:  time = 87.55955
Added Question at 48, 6:  time = 88.3776
Added Question at 49, 6:  time = 88.66077
Added Question at 52, 6:  time = 89.17883
Added Koopa 2 at 49, 4:  time = 96.66773
Added Koopa 2 at 48, 4:  time = 97.2344
Added Goomba at 48, 7:  time = 101.8876
Added Goomba at 49, 7:  time = 102.2549
Added Ground at 67, 0:  time = 109.828
Added Ground at 67, 0:  time = 109.828
Added Ground at 67, 0:  time = 109.828
Added Ground at 67, 0:  time = 109.828
Added Ground at 68, 0:  time = 110.1447
Added Ground at 68, 0:  time = 110.1447
Added Ground at 68, 0:  time = 110.1447
Added Ground at 68, 0:  time = 110.1447
Added Ground at 70, 0:  time = 110.4619
Added Ground at 70, 0:  time = 110.4619
Added Ground at 70, 0:  time = 110.4619
Added Ground at 70, 0:  time = 110.4619
Added Ground at 72, 0:  time = 110.9453
Added Ground at 72, 0:  time = 110.9453
Added Ground at 72, 0:  time = 110.9453
Added Ground at 72, 0:  time = 110.9453
Added Ground at 69, 0:  time = 111.9624
Added Ground at 69, 0:  time = 111.9624
Added Ground at 69, 0:  time = 111.9624
Added Ground at 69, 0:  time = 111.9624
Added Ground at 71, 0:  time = 112.3461
Added Ground at 71, 0:  time = 112.3461
Added Ground at 71, 0:  time = 112.3461
Added Ground at 71, 0:  time = 112.3461
Added Goomba at 69, 0:  time = 113.5479
Added Goomba at 69, 0:  time = 114.7325
Added Goomba at 69, 0:  time = 114.7325
Added Goomba at 69, 0:  time = 114.7325
Added Goomba at 69, 0:  time = 114.7325
Added Stair at 63, 1:  time = 118.3509
Added Stair at 64, 1:  time = 119.1856
Added Stair at 65, 1:  time = 119.5188
Added Stair at 66, 1:  time = 119.8023
Added Stair at 66, 2:  time = 120.1188
Added Stair at 65, 2:  time = 120.3697
Added Stair at 66, 3:  time = 120.7203
Added Stair at 63, 1:  time = 121.4209
Added Stair at 63, 1:  time = 121.4209
Added Stair at 63, 1:  time = 121.4209
Added Stair at 63, 1:  time = 121.4209
Added Stair at 73, 3:  time = 122.9882
Added Stair at 73, 2:  time = 123.138
Added Stair at 73, 1:  time = 123.2049
Added Stair at 74, 1:  time = 123.5889
Added Stair at 74, 2:  time = 124.072
Added Stair at 75, 1:  time = 125.0059
Added Ground at 67, 0:  time = 130.1772
Added Ground at 68, 0:  time = 130.2604
Added Ground at 69, 0:  time = 130.2938
Added Ground at 70, 0:  time = 130.3104
Added Ground at 71, 0:  time = 130.3429
Added Ground at 72, 0:  time = 130.3596
Added Ground at 68, 0:  time = 132.4798
Added Ground at 68, 0:  time = 132.4798
Added Ground at 68, 0:  time = 132.4798
Added Ground at 68, 0:  time = 132.4798
Added Ground at 69, 0:  time = 132.9304
Added Ground at 69, 0:  time = 132.9304
Added Ground at 69, 0:  time = 132.9304
Added Ground at 69, 0:  time = 132.9304
Added Ground at 70, 0:  time = 133.3629
Added Ground at 70, 0:  time = 133.3629
Added Ground at 70, 0:  time = 133.3629
Added Ground at 70, 0:  time = 133.3629
Added Stair at 64, 1:  time = 136.6822
Added Stair at 64, 1:  time = 136.6822
Added Stair at 64, 1:  time = 136.6822
Added Stair at 64, 1:  time = 136.6822
Added Stair at 65, 1:  time = 136.7983
Added Stair at 65, 1:  time = 136.7983
Added Stair at 65, 1:  time = 136.7983
Added Stair at 66, 1:  time = 136.9162
Added Stair at 66, 1:  time = 136.9162
Added Stair at 66, 1:  time = 136.9162
Added Stair at 66, 2:  time = 137.0827
Added Stair at 66, 3:  time = 137.1827
Added Stair at 66, 3:  time = 137.1827
Added Stair at 66, 3:  time = 137.1827
Added Stair at 66, 3:  time = 137.1827
Added Stair at 65, 2:  time = 137.7161
Added Stair at 65, 2:  time = 137.7161
Added Stair at 65, 2:  time = 137.7161
Added Stair at 65, 2:  time = 137.7161
Added Stair at 67, 3:  time = 138.3668
Added Stair at 67, 2:  time = 138.6512
Added Stair at 67, 1:  time = 139.3346
Added Stair at 66, 2:  time = 139.8025
Added Stair at 66, 1:  time = 140.0354
Added Stair at 64, 1:  time = 140.2852
Added Stair at 65, 1:  time = 141.0359
Added Stair at 64, 1:  time = 141.4034
Added Stair at 64, 1:  time = 141.4034
Added Stair at 64, 1:  time = 141.4034
Added Stair at 64, 1:  time = 141.4034
Added Stair at 71, 2:  time = 142.5039
Added Stair at 71, 3:  time = 142.9047
Added Stair at 71, 1:  time = 143.3052
Added Stair at 72, 1:  time = 143.6217
Added Stair at 72, 2:  time = 143.8886
Added Stair at 73, 3:  time = 145.0391
Added Stair at 73, 3:  time = 145.0391
Added Stair at 73, 3:  time = 145.0391
Added Stair at 73, 3:  time = 145.0391
Added Stair at 73, 2:  time = 145.6224
Added Stair at 74, 2:  time = 145.8572
Added Stair at 74, 2:  time = 145.8572
Added Stair at 74, 1:  time = 146.7072
Added Stair at 74, 1:  time = 146.7072
Added Stair at 74, 1:  time = 146.7072
Added Stair at 74, 1:  time = 146.7072
