Study Start:  time = 3.603816
Grid Cleared:  time = 3.603816
Added Block at 53, 1:  time = 33.68507
Added Block at 54, 1:  time = 33.70176
Added Block at 55, 1:  time = 33.75184
Added Block at 56, 1:  time = 33.76852
Added Block at 57, 1:  time = 33.78502
Added Block at 58, 1:  time = 33.81835
Added Block at 59, 1:  time = 33.83525
Added Block at 60, 1:  time = 33.85199
Added Block at 61, 1:  time = 33.86864
Added Block at 62, 1:  time = 33.88528
Added Block at 63, 1:  time = 33.90193
Added Block at 64, 1:  time = 33.90193
Added Block at 65, 1:  time = 33.9362
Added Block at 66, 1:  time = 33.95264
Added Block at 67, 1:  time = 33.95264
Added Block at 68, 1:  time = 33.96955
Added Block at 69, 1:  time = 33.96955
Added Block at 70, 1:  time = 33.98611
Added Block at 71, 1:  time = 34.00245
Added Block at 72, 1:  time = 34.00245
Added Block at 73, 1:  time = 34.03556
Added Block at 74, 1:  time = 34.03556
Added Block at 75, 1:  time = 34.0522
Added Block at 76, 1:  time = 34.0522
Added Block at 77, 1:  time = 34.06887
Added Block at 78, 1:  time = 34.06887
Added Block at 79, 1:  time = 34.08551
Added Block at 80, 1:  time = 34.08551
Added Block at 81, 1:  time = 34.10215
Added Block at 82, 1:  time = 34.10215
Added Block at 83, 1:  time = 34.10215
Added Block at 84, 1:  time = 34.13512
Added Block at 85, 1:  time = 34.13512
Added Block at 86, 1:  time = 34.15188
Added Block at 87, 1:  time = 34.15188
Added Block at 88, 1:  time = 34.16851
Added Block at 89, 1:  time = 34.16851
Added Block at 90, 1:  time = 34.18519
Added Block at 91, 1:  time = 34.18519
Added Block at 92, 1:  time = 34.18519
Added Block at 93, 1:  time = 34.20181
Added Block at 94, 1:  time = 34.20181
Added Block at 95, 1:  time = 34.23592
Added Block at 96, 1:  time = 34.23592
Added Block at 97, 1:  time = 34.25255
Added Block at 98, 1:  time = 34.25255
Added Block at 99, 1:  time = 34.25255
Added Block at 6, 9:  time = 38.90702
Added Block at 7, 9:  time = 39.05713
Added Block at 8, 9:  time = 39.10703
Added Block at 9, 9:  time = 39.13977
Added Block at 10, 9:  time = 39.15644
Added Block at 11, 9:  time = 39.1897
Added Block at 12, 9:  time = 39.22385
Added Block at 13, 9:  time = 39.27377
Added Block at 14, 9:  time = 39.34052
Added Block at 15, 9:  time = 39.40653
Added Block at 15, 10:  time = 39.87355
Added Block at 14, 10:  time = 40.39134
Added Block at 13, 10:  time = 40.458
Added Block at 12, 10:  time = 40.49105
Added Block at 11, 10:  time = 40.55777
Added Block at 10, 10:  time = 41.02516
Added Block at 11, 11:  time = 41.50752
Added Block at 12, 11:  time = 41.9913
Added Block at 13, 11:  time = 42.09156
Added Block at 14, 11:  time = 42.17569
Added Block at 20, 12:  time = 43.45952
Added Block at 21, 12:  time = 43.54368
Added Block at 22, 12:  time = 43.59348
