id,firstAgent,secondAgent,First_Fun,First_Frustrating,First_Challenging,First_Aided,First_Creative,First_Reuse,First_Random,Second_Random,First_Deletions,Second_Deletions,First_Blocks,Second_Blocks,First_Unplayable,Second_Unplayable,Designed_Mario_Class,Designed_Mario_Binary,Designed_Platformer_Class,Designed_Platformer_Binary,Designed_Any_Class,Designed_Any_Binary,Played_SMB_Class,Played_SMB_Binary,Played_M_Class,Played_M_Binary,Played_Platformer_Class,Played_Platformer_Binary,Played_Any_Class,Played_Any_Binary,Gender,Age,above_first
1013,1,0,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1,2,1,1,1,1,1,1,1,2,1,F,0,1
103,0,1,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,1,2,1,2,1,M,0,0
1213,1,2,-1,1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,2,1,2,1,2,1,2,1,F,0,1
2003,2,0,1,-1,1,1,-1,1,0,0,0,0,1,0,0,0,1,1,2,1,2,1,1,1,1,1,2,1,2,1,M,0,0
203,0,2,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,1,1,1,1,1,2,1,M,0,0
213,0,2,1,-1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,M,0,1
2103,2,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,M,0,0
113,0,1,-1,1,-1,1,-1,-1,1,0,1,0,0,0,0,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,F,0,1
1004,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,F,0,0
1214,1,2,1,-1,-1,1,1,-1,1,0,0,1,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,0,2,1,M,0,1
2014,2,0,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,M,0,1
104,0,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,1,2,1,M,0,0
204,0,2,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,M,1,0
214,0,2,1,-1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,M,0,1
2104,2,1,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,2,1,2,1,M,0,0
1204,1,2,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2,1,2,1,M,0,0
114,0,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,1,1,2,1,M,1,1
2004,2,0,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,F,0,0
1014,1,0,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,2,1,M,0,1
2114,2,1,1,-1,-1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,2,1,M,2,1
115,0,1,1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,M,1,1
2105,2,1,-1,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,1,2,1,M,0,0
1215,1,2,-1,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,1,2,1,2,1,2,1,2,1,2,1,2,1,M,1,1
1216,1,2,1,-1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,F,0,1
2115,2,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,M,0,1
2015,2,0,1,-1,-1,1,-1,1,0,1,0,0,0,0,0,0,1,1,1,1,2,1,1,1,2,1,2,1,2,1,M,0,1
2005,2,0,-1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,M,1,0
1015,1,0,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,1,2,1,2,1,2,1,F,0,1
105,0,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,M,0,0
1005,1,0,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,1,2,1,2,1,2,1,M,1,0
205,0,2,1,-1,-1,1,1,1,0,1,0,0,0,0,0,0,2,1,2,1,3,1,2,1,2,1,2,1,2,1,M,0,0
215,0,2,-1,-1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,2,1,2,1,2,1,2,1,2,1,M,0,1
1205,1,2,-1,1,1,-1,-1,-1,1,0,0,0,0,0,0,1,2,1,2,1,3,1,2,1,2,1,2,1,2,1,M,1,0
