Study Start:  time = 6.166995
Grid Cleared:  time = 6.166995
Added Ground at 61, 0:  time = 43.41813
Added Ground at 60, 0:  time = 43.48412
Added Ground at 59, 0:  time = 43.56808
Added Ground at 58, 0:  time = 43.651
Added Ground at 57, 0:  time = 43.76758
Added Ground at 56, 0:  time = 43.85055
Added Ground at 55, 0:  time = 43.88358
Added Ground at 54, 0:  time = 43.93477
Added Ground at 53, 0:  time = 44.00137
Added Ground at 52, 0:  time = 44.06795
Added Ground at 47, 0:  time = 44.28461
Added Ground at 46, 0:  time = 44.33455
Added Ground at 45, 0:  time = 44.40197
Added Ground at 44, 0:  time = 44.46871
Added Ground at 43, 0:  time = 44.51833
Added Ground at 42, 0:  time = 44.56824
Added Ground at 41, 0:  time = 44.60213
Added Ground at 40, 0:  time = 44.6523
Added Ground at 39, 0:  time = 44.66888
Added Ground at 38, 0:  time = 44.70215
Added Ground at 37, 0:  time = 44.73491
Added Ground at 36, 0:  time = 44.76821
Added Ground at 35, 0:  time = 44.78596
Added Ground at 34, 0:  time = 44.80275
Added Ground at 33, 0:  time = 44.83604
Added Ground at 32, 0:  time = 44.85267
Added Ground at 31, 0:  time = 44.86934
Added Ground at 15, 0:  time = 45.18529
Added Ground at 14, 0:  time = 45.2019
Added Ground at 13, 0:  time = 45.23528
Added Ground at 12, 0:  time = 45.25191
Added Ground at 11, 0:  time = 45.26853
Added Ground at 10, 0:  time = 45.26853
Added Ground at 9, 0:  time = 45.28588
Added Ground at 8, 0:  time = 45.30271
Added Ground at 2, 0:  time = 45.43526
Added Ground at 1, 0:  time = 45.45193
Added Ground at 0, 0:  time = 46.21976
Added Ground at 29, 1:  time = 47.3033
Added Ground at 28, 1:  time = 47.3536
Added Ground at 27, 1:  time = 47.38705
Added Ground at 26, 1:  time = 47.43738
Added Ground at 25, 1:  time = 47.48738
Added Ground at 24, 1:  time = 47.60366
Added Ground at 23, 1:  time = 47.67132
Added Ground at 22, 1:  time = 47.78772
Added Ground at 21, 1:  time = 47.85371
Added Ground at 20, 1:  time = 47.93757
Added Ground at 19, 1:  time = 48.0384
Added Ground at 18, 1:  time = 48.13788
Added Ground at 17, 1:  time = 48.25495
Added Bridge at 19, 2:  time = 59.8628
Added Bridge at 20, 2:  time = 60.29691
Added Bridge at 21, 2:  time = 60.3803
Added Bridge at 22, 2:  time = 60.41384
Added Bridge at 23, 2:  time = 60.51368
Added Bridge at 24, 2:  time = 60.56358
Added Bridge at 25, 2:  time = 60.64677
Added Bridge at 20, 4:  time = 62.74968
Added Bridge at 21, 4:  time = 62.86607
Added Bridge at 22, 4:  time = 62.88267
Added Bridge at 23, 4:  time = 62.89936
Added Bridge at 24, 4:  time = 62.93287
Added Bridge at 25, 4:  time = 63.01627
Added Bridge at 25, 2:  time = 65.60419
Added Bridge at 25, 2:  time = 65.60419
Added Bridge at 25, 2:  time = 65.60419
Added Bridge at 25, 2:  time = 65.60419
Added Bridge at 24, 2:  time = 65.70354
Added Bridge at 23, 2:  time = 65.75285
Added Bridge at 23, 2:  time = 65.75285
Added Bridge at 23, 2:  time = 65.75285
Added Bridge at 23, 2:  time = 65.75285
Added Bridge at 22, 2:  time = 65.78622
Added Bridge at 22, 2:  time = 65.78622
Added Bridge at 22, 2:  time = 65.78622
Added Bridge at 22, 2:  time = 65.78622
Added Bridge at 21, 2:  time = 65.85275
Added Bridge at 21, 2:  time = 65.85275
Added Bridge at 21, 2:  time = 65.85275
Added Bridge at 21, 2:  time = 65.85275
Added Bridge at 20, 2:  time = 65.90216
Added Bridge at 19, 2:  time = 65.98498
Added Bridge at 19, 2:  time = 65.98498
Added Bridge at 20, 4:  time = 66.25176
Added Bridge at 21, 4:  time = 66.33566
Added Bridge at 21, 4:  time = 66.33566
Added Bridge at 21, 4:  time = 66.33566
Added Bridge at 21, 4:  time = 66.33566
Added Bridge at 22, 5:  time = 66.43593
Added Bridge at 22, 5:  time = 66.43593
Added Bridge at 22, 5:  time = 66.43593
Added Bridge at 22, 5:  time = 66.43593
Added Bridge at 23, 5:  time = 66.45258
Added Bridge at 24, 5:  time = 66.48595
Added Bridge at 24, 5:  time = 66.48595
Added Bridge at 24, 5:  time = 66.48595
Added Bridge at 25, 5:  time = 66.50272
Added Bridge at 25, 5:  time = 66.50272
Added Bridge at 21, 4:  time = 76.56094
Added Bridge at 22, 4:  time = 76.89335
Added Bridge at 23, 4:  time = 76.92659
Added Bridge at 24, 4:  time = 76.92659
Added Bridge at 25, 4:  time = 76.96007
Added Bridge at 26, 4:  time = 76.96007
Added Bridge at 27, 4:  time = 76.9935
Added Bridge at 28, 4:  time = 77.12738
Added Bridge at 29, 4:  time = 77.19392
Added Bridge at 30, 4:  time = 77.27657
Added Bridge at 31, 4:  time = 77.4447
Added Bridge at 32, 3:  time = 77.79353
Added Bridge at 32, 4:  time = 79.92927
Added Bridge at 32, 4:  time = 79.92927
Added Bridge at 32, 4:  time = 79.92927
Added Bridge at 32, 4:  time = 79.92927
Added Bridge at 32, 4:  time = 80.66259
Added Koopa 2 at 24, 6:  time = 99.4611
Added Koopa 2 at 27, 2:  time = 103.1977
Added Ground at 20, 1:  time = 104.5653
Added Ground at 20, 1:  time = 104.5653
Added Ground at 20, 1:  time = 104.5653
Added Ground at 20, 1:  time = 104.5653
Added Ground at 19, 1:  time = 104.7979
Added Ground at 19, 1:  time = 104.7979
Added Ground at 19, 1:  time = 104.7979
Added Ground at 19, 0:  time = 104.8313
Added Ground at 19, 0:  time = 104.8313
Added Ground at 19, 0:  time = 104.8313
Added Ground at 20, 0:  time = 105.2661
Added Ground at 18, 0:  time = 105.632
Added Ground at 18, 0:  time = 105.632
Added Ground at 18, 0:  time = 105.632
Added Ground at 18, 0:  time = 105.632
Added Ground at 18, 1:  time = 105.7659
Added Ground at 18, 1:  time = 105.7659
Added Ground at 18, 1:  time = 105.7659
Added Ground at 33, 1:  time = 106.9004
Added Ground at 33, 1:  time = 106.9004
Added Ground at 33, 1:  time = 106.9004
Added Ground at 33, 1:  time = 106.9004
Added Ground at 33, 0:  time = 107.0337
Added Ground at 33, 0:  time = 107.0337
Added Ground at 34, 0:  time = 107.2333
Added Ground at 34, 0:  time = 107.2333
Added Ground at 35, 0:  time = 107.4172
Added Ground at 35, 0:  time = 107.4172
Added Ground at 35, 0:  time = 107.4172
Added Ground at 35, 1:  time = 107.5007
Added Ground at 35, 1:  time = 107.5007
Added Ground at 35, 1:  time = 107.5007
Added Ground at 34, 1:  time = 107.7341
Added Koopa 2 at 29, 6:  time = 114.556
Added Koopa 2 at 29, 6:  time = 118.226
Added Koopa 2 at 29, 6:  time = 118.226
Added Koopa 2 at 29, 6:  time = 118.226
Added Koopa 2 at 29, 6:  time = 118.226
Added Koopa 2 at 28, 6:  time = 119.593
A
