, 11:  time = 433.8703
Added Ground at 45, 0:  time = 529.9984
Added Ground at 46, 0:  time = 530.1323
Added Ground at 47, 0:  time = 530.5485
Added Ground at 49, 0:  time = 532.2169
Added Ground at 66, 0:  time = 535.1035
Added Ground at 65, 0:  time = 535.1201
Added Ground at 64, 0:  time = 535.2029
Added Ground at 67, 0:  time = 535.5033
Added Ground at 77, 0:  time = 536.5541
Added Ground at 79, 0:  time = 536.9207
Added Question at 73, 13:  time = 547.3468
Added Question at 73, 13:  time = 549.7309
Added Question at 73, 13:  time = 549.7309
Added Question at 73, 13:  time = 549.7309
Added Question at 73, 13:  time = 549.7309
Added Question at 84, 13:  time = 552.4495
Added Coin at 85, 11:  time = 560.2238
Added Coin at 86, 11:  time = 560.5566
Added Coin at 87, 11:  time = 561.1237
Added Coin at 87, 10:  time = 561.8072
Added Coin at 88, 13:  time = 562.391
Added Coin at 89, 13:  time = 562.676
Added Coin at 90, 13:  time = 562.925
Added Coin at 91, 12:  time = 563.5762
Added Coin at 91, 13:  time = 564.0758
Added Coin at 94, 12:  time = 566.3949
Added Coin at 96, 11:  time = 567.0941
Ended Turn:  time = 568.3291
Added Block at 12, 13:  time = 569.5981
Added Block at 13, 13:  time = 569.8313
Added Block at 14, 13:  time = 570.0646
Added Block at 15, 13:  time = 570.2985
Added Block at 16, 13:  time = 570.5313
Added Block at 17, 13:  time = 570.7653
Added Block at 18, 13:  time = 570.9991
Added Block at 19, 13:  time = 571.2324
Added Block at 20, 13:  time = 571.4651
Added Block at 21, 13:  time = 571.6992
Added Block at 22, 13:  time = 571.9332
Added Block at 23, 13:  time = 572.1664
Added Stair at 43, 4:  time = 572.4006
Added Stair at 44, 4:  time = 572.6334
Added Stair at 44, 5:  time = 572.8676
Added Stair at 45, 3:  time = 573.1007
Added Stair at 45, 4:  time = 573.334
Added Stair at 45, 5:  time = 573.5673
Added Stair at 46, 4:  time = 573.8013
Added Stair at 46, 5:  time = 574.0347
Added Block at 51, 13:  time = 574.2686
Added Block at 52, 13:  time = 574.502
Added Block at 53, 13:  time = 574.7352
Added Block at 54, 13:  time = 574.9685
Added Block at 55, 13:  time = 575.2018
Added Block at 56, 13:  time = 575.4362
Added Block at 57, 13:  time = 575.6698
Added Block at 58, 13:  time = 575.9034
Added Block at 59, 13:  time = 576.1374
Added Block at 60, 13:  time = 576.3695
Player Turn:  time = 576.7706
Added Block at 20, 13:  time = 580.8236
Added Block at 20, 13:  time = 580.8236
Added Block at 20, 13:  time = 580.8236
Added Block at 20, 13:  time = 580.8236
Added Block at 21, 13:  time = 581.157
Added Block at 21, 13:  time = 581.157
Added Block at 21, 13:  time = 581.157
Added Block at 21, 13:  time = 581.157
Added Block at 19, 13:  time = 581.5577
Added Block at 19, 13:  time = 581.5577
Added Block at 19, 13:  time = 581.5577
Added Block at 19, 13:  time = 581.5577
Added Block at 18, 13:  time = 581.8243
Added Block at 18, 13:  time = 581.8243
Added Block at 18, 13:  time = 581.8243
Added Block at 18, 13:  time = 581.8243
Added Block at 17, 13:  time = 582.0907
Added Block at 17, 13:  time = 582.0907
Added Block at 17, 13:  time = 582.0907
Added Block at 17, 13:  time = 582.0907
Added Block at 22, 13:  time = 583.0082
Added Block at 22, 13:  time = 583.0082
Added Block at 22, 13:  time = 583.0082
Added Block at 22, 13:  time = 583.0082
Added Block at 23, 13:  time = 583.9263
Added Block at 23, 13:  time = 583.9263
Added Block at 23, 13:  time = 583.9263
Added Block at 23, 13:  time = 583.9263
Added Block at 16, 13:  time = 584.5098
Added Block at 16, 13:  time = 584.5098
Added Block at 16, 13:  time = 584.5098
Added Block at 16, 13:  time = 584.5098
Added Block at 15, 13:  time = 584.8103
Added Block at 15, 13:  time = 584.8103
Added Block at 15, 13:  time = 584.8103
Added Block at 15, 13:  time = 584.8103
Starting Run:  time = 591.132
Player got Coin
Player had score 1000
Lost!
Player got Coin
Player had score 1000
Lost!
Player got Coin
Player got Coin
Player got Coin
End Run:  time = 657.1386
Grid Cleared:  time = 657.1553
Grid Cleared:  time = 657.1553
Added Ground at 0, 1:  time = 657.1553
Added Ground at 1, 1:  time = 657.1553
Added Ground at 2, 1:  time = 657.1553
Added Ground at 3, 1:  time = 657.1553
Added Ground at 4, 1:  time = 657.1553
Added Ground at 5, 1:  time = 657.1553
Added Ground at 6, 1:  time = 657.1553
Added Ground at 7, 1:  time = 657.1553
Added Ground at 8, 1:  time = 657.1553
Added Ground at 9, 1:  time = 657.1553
Added Ground at 10, 1:  time = 657.1553
Added Ground at 11, 1:  time = 657.1553
Added Ground at 12, 1:  time = 657.1553
Added Ground at 17, 1:  time = 657.1553
Added Ground at 18, 1:  time = 657.1553
Added Ground at 21, 1:  time = 657.1553
Added Ground at 25, 1:  time = 657.1553
Added Ground at 26, 1:  time = 657.1553
Added Ground at 33, 1:  time = 657.1553
Added Ground at 34, 1:  time = 657.1553
Added Ground at 35, 1:  time = 657.1553
Added Ground at 36, 1:  time = 657.1553
Added Ground at 37, 1:  time = 657.1553
Added Ground at 38, 1:  time = 657.1553
Added Ground at 39, 1:  time = 657.1553
Added Ground at 40, 1:  time = 657.1553
Added Ground at 41, 1:  time = 657.1553
Added Ground at 42, 1:  time = 657.1553
Added Ground at 43, 1:  time = 657.1553
Added Ground at 44, 1:  time = 657.1553
Added Ground at 45, 1:  time = 657.1553
Added Ground at 46, 1:  time = 657.1553
Added Ground at 47, 1:  time = 657.1553
Added Ground at 48, 1:  time = 657.1553
Added Ground at 49, 1:  time = 657.1553
Added Ground at 62, 1:  time = 657.1553
Added Ground at 63, 1:  time = 657.1553
Added Ground at 64, 1:  time = 657.1553
Added Ground at 65, 1:  time = 657.1553
Added Ground at 66, 1:  time = 657.1553
Added Ground at 67, 1:  time = 657.1553
Added Ground at 68, 1:  time = 657.1553
Added Ground at 68, 0:  time = 657.1553
Added Ground at 69, 0:  time = 657.1553
Added Ground at 70, 0:  time = 657.1553
Added Ground at 71, 0:  time = 657.1553
Added Ground at 72, 0:  time = 657.1553
Added Ground at 73, 0:  time = 657.1553
Added Ground at 74, 0:  time = 657.1553
Added Ground at 75, 0:  time = 657.1553
Added Ground at 76, 0:  time = 657.1553
Added Ground at 76, 1:  time = 657.1553
Added Ground at 74, 1:  time = 657.1553
Added Ground at 73, 1:  time = 657.1553
Added Ground at 72, 1:  time = 657.1553
Added Ground at 71, 1:  time = 657.1553
Added Ground at 70, 1:  time = 657.1553
Added Ground at 69, 1:  time = 657.1553
Added Ground at 75, 1:  time = 657.1553
Added Ground at 77, 1:  time = 657.1553
Added Ground at 78, 1:  time = 657.1553
Added Ground at 79, 1:  time = 657.1553
Added Ground at 80, 1:  time = 657.1553
Added Ground at 85, 1:  time = 657.1553
Added Ground at 86, 1:  time = 657.1553
Added Ground at 87, 1:  time = 657.1553
